Model Name,Loss Mean,Loss Std,Runtime,Group
LinearRegression,0.9643241237243059,0.027480774157386676,0.14214491844177246,Shallow
XGBRegressor,0.6734664630889893,0.015232698523587015,2.280730962753296,Shallow
RandomForestRegressor,0.6557000000000013,0.006046486583131979,66.57517910003662,Shallow
Stacking(LinReg),0.6481180368324406,0.014596120169889894,471.18949365615845,Shallow Stacked
LGBMRegressor,0.6431997947015086,0.02807314214864146,1.282480239868164,Shallow
VotingRegressor,0.635034149933761,0.015813517350865593,132.60628867149353,Shallow Stacked
SVR,0.622064891365351,0.027839205363353742,50.57897090911865,Shallow
DNN,0.5261126232147216,0.04021138123633669,366.0614812374115,Deep
Stacking(SVM),0.5207086930671652,0.017700148322585645,484.9416329860687,Shallow Stacked
DNNStackBest,0.42722091674804696,0.029746674220504567,392.7228693962097,Deep Stacked
DNNStackAll,0.425603528022766,0.04524039656498619,382.7933340072632,Deep Stacked
DNNStackBase,0.42290599822998043,0.024245658593840973,482.10634183883667,Deep Stacked
